source_file_name,source_row_number,street,from_street,to_street
Pavement Moratorium.csv,84,Nw Naito Pky,Davis St,9Th Ave
Pavement Moratorium.csv,85,Ne Sandy Blvd,27Th Ave,29Th Ave
Pavement Moratorium.csv,86,Ne 16Th Ave/15Th Ave,Multnomah St,Halsey St
Pavement Moratorium.csv,87,Ne 12Th Ave,Glisan St,593' N Of Glisan St
Pavement Moratorium.csv,88,Ne Lloyd Blvd,Oregon,231 Ft East Of 1St Ave
Pavement Moratorium.csv,89,Ne Siskiyou St,Ne 64th Ave,Ne Sandy Blvd
Pavement Moratorium.csv,90,Sw 1st Ave,Sw Columbia St,Sw Jefferson St
Pavement Moratorium.csv,91,W Burnside St,King Ave,21st Ave
Pavement Moratorium.csv,92,NE Sandy Blvd,NE 47th Ave,NE 82nd Ave
Pavement Moratorium.csv,93,Ne Hancock St,Ne 48th Ave,Ne 49th Ave
Pavement Moratorium.csv,94,Ne Hazelfern Pl,Ne Cesar E Chavez Blvd,Ne 42nd Ave
Pavement Moratorium.csv,95,E Burnside St,Se Martin Luther King Jr Blvd,Se Grand AVe
Pavement Moratorium.csv,96,Ne 58th Ave,Ne Flanders St,Ne Glisan St
Pavement Moratorium.csv,97,Nw 16Th Ave,Couch St,Glisan St
Pavement Moratorium.csv,98,Sw Madison St,Sw 5th Ave,Sw 4th Ave
Pavement Moratorium.csv,99,Ne Euclid Ave,Ne 47th Ave,Ne 49th Ave
Pavement Moratorium.csv,100,SE Belmont St,SE Cesar E Chavez Blvd,SE Peacock Ln
Pavement Moratorium.csv,101,NW Ariel Ter,Alpine Ter,Culpepper Ter
Pavement Moratorium.csv,102,NE 53rd Ave,Tillamook St,Thompson St
Pavement Moratorium.csv,103,W Burnside St,11th,10th
Pavement Moratorium.csv,104,N Stanton St,Kerby Ave,NA
Pavement Moratorium.csv,105,SW 15th Ave,Alder St,Burnside St
Pavement Moratorium.csv,106,NE  EVERETT ST,57TH AVE,58TH AVE
Pavement Moratorium.csv,107,NW  DAVIS ST,NW 6TH AVE,NW BROADWAY
Pavement Moratorium.csv,108,Se Grand Ave,Se Clay St,Se Main st
Pavement Moratorium.csv,109,SW 17TH AVE,SW SALMON ST,SW TAYLOR ST
