source_file_name,source_row_number,street,from_street,to_street,addid,addy_from,addy_to,rating_from,rating_to,geojson_from,geojson_to
Pavement Moratorium.csv,62,W Burnside St,19Th Ave,King Ave,94,"1900 W Burnside St, Portland, OR 97209","2150 W Burnside St, Portland, OR 97210",2,2,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.690222,45.52301]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.695394,45.523272]}"
Pavement Moratorium.csv,63,Ne 16Th Ave,Ne Glisan St,Ne Irving St,95,"501 NW 16th Ave, Portland, OR 97209","701 NW 16th Ave, Portland, OR 97209",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.687293,45.526426]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.687371,45.527857]}"
Pavement Moratorium.csv,64,Nw 29Th Ave,Nw Nela St,,96,"NW 29th Ave, Portland, OR","",3,-1,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.710964,45.543586]}",
Pavement Moratorium.csv,65,Ne 15Th Ave,Ne Knott St,Ne Stanton St,97,"2701 NE 15th Ave, Portland, OR 97212","2901 NE 15th Ave, Portland, OR 97212",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.650438,45.542085]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.650428,45.543648]}"
Pavement Moratorium.csv,88,Ne Lloyd Blvd,Oregon,231 Ft East Of 1St Ave,120,"","",-1,-1,,
Pavement Moratorium.csv,66,Sw 1St Ave,Sw Jefferson St,Sw Columbia St,98,"1298 SW 1st Ave, Portland, OR 97204","1398 SW 1st Ave, Portland, OR 97201",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.675791,45.513729]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.67613,45.51307]}"
Pavement Moratorium.csv,67,1515 Sw Clifton St,,,99,"","",-1,-1,,
Pavement Moratorium.csv,68,Se Taylor St,Se 50Th Ave,,100,"4999 SE Taylor St, Portland, OR 97215","",3,-1,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.61124,45.515413]}",
Pavement Moratorium.csv,69,Ne Broadway,22Nd Ave,24Th Ave,101,"2199 NE Broadway St, Portland, OR 97232","2399 NE Broadway St, Portland, OR 97232",6,6,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.642988,45.535015]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.64116,45.535089]}"
Pavement Moratorium.csv,70,Ne Broadway,37th Ave,Cesar E Chavez Blvd,102,"3699 NE Broadway St, Portland, OR 97232","",6,-1,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.624999,45.535152]}",
