source_file_name,source_row_number,street,from_street,to_street,addid,addy_from,addy_to,rating_from,rating_to,geojson_from,geojson_to
Pavement Moratorium.csv,103,W Burnside St,11th,10th,135,"1100 W Burnside St, Portland, OR 97209","1000 W Burnside St, Portland, OR 97209",2,2,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.682116,45.522938]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.681121,45.522976]}"
Pavement Moratorium.csv,104,N Stanton St,Kerby Ave,,136,"600 N Stanton St, Portland, OR 97227","",2,-1,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.671966,45.543741]}",
Pavement Moratorium.csv,105,SW 15th Ave,Alder St,Burnside St,137,"598 SW 15th Ave, Portland, OR 97205","400 SW 15th Ave, Portland, OR 97205",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.686802,45.522029]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.686562,45.522885]}"
Pavement Moratorium.csv,106,NE  EVERETT ST,57TH AVE,58TH AVE,138,"5699 NE Everett St, Portland, OR 97213","5799 NE Everett St, Portland, OR 97213",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.605426,45.524955]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.604296,45.525031]}"
Pavement Moratorium.csv,107,NW  DAVIS ST,NW 6TH AVE,NW BROADWAY,139,"600 NW Davis St, Portland, OR 97209","700 NW Davis St, Portland, OR 97209",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.676472,45.524489]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.677494,45.524469]}"
Pavement Moratorium.csv,108,Se Grand Ave,Se Clay St,Se Main st,140,"1598 SE Grand Ave, Portland, OR 97214","1298 SE Grand Ave, Portland, OR 97214",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.660782,45.511522]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.660768,45.513662]}"
Pavement Moratorium.csv,109,SW 17TH AVE,SW SALMON ST,SW TAYLOR ST,141,"998 SW 17th Ave, Portland, OR 97205","900 SW 17th Ave, Portland, OR 97205",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.690216,45.519893]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.689855,45.520559]}"
Planned Fog Seal.csv,1,Se Main St,30Th Ave,32Nd Ave,142,"2999 SE Main St, Portland, OR 97214","3199 SE Main St, Portland, OR 97214",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.634776,45.513581]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.632659,45.513583]}"
Planned Fog Seal.csv,2,NW  24TH AVE,GLISAN ST,VAUGHN ST,143,"501 NW 24th Ave, Portland, OR 97210","2001 NW 24th Ave, Portland, OR 97210",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.700504,45.526187]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.700822,45.536879]}"
Planned Fog Seal.csv,3,NW  SAVIER ST,28TH AVE,23RD AVE,144,"2800 NW Savier St, Portland, OR 97210","2300 NW Savier St, Portland, OR 97210",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.708777,45.534596]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.698795,45.534779]}"
Planned Fog Seal.csv,4,NW  QUIMBY ST,25TH AVE,23RD AVE,145,"2498 NW Quimby St, Portland, OR 97210","2300 NW Quimby St, Portland, OR 97210",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.70276,45.533279]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.698742,45.533353]}"
Planned Fog Seal.csv,5,NW  PETTYGROVE ST,26TH AVE,23RD AVE,146,"2598 NW Pettygrove St, Portland, OR 97210","2300 NW Pettygrove St, Portland, OR 97210",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.704723,45.53253]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.698715,45.532641]}"
Planned Fog Seal.csv,6,NW  OVERTON ST,21ST AVE,19TH AVE,147,"2098 NW Overton St, Portland, OR 97209","1900 NW Overton St, Portland, OR 97209",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.694632,45.532002]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.690575,45.532077]}"
Planned Fog Seal.csv,7,NW  20TH AVE,LOVEJOY SY,RALEIGH ST,148,"","1601 NW 20th Ave, Portland, OR 97209",-1,3,,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.692683,45.534178]}"
Planned Fog Seal.csv,8,NW  17TH AVE,MARSHALL ST,NORTHRUP ST,149,"1099 NW 17th Ave, Portland, OR 97209","1201 NW 17th Ave, Portland, OR 97209",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.688493,45.530689]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.68852,45.531401]}"
Planned Fog Seal.csv,9,NW  JOHNSON ST,25TH AVE,23RD AVE,150,"2498 NW Johnson St, Portland, OR 97210","2300 NW Johnson St, Portland, OR 97210",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.702549,45.528285]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.698556,45.528363]}"
Planned Fog Seal.csv,10,NW  JOHNSON ST,15TH AVE,14TH AVE,151,"1498 NW Johnson St, Portland, OR 97209","1400 NW Johnson St, Portland, OR 97209",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.686376,45.528591]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.685363,45.52861]}"
Planned Fog Seal.csv,11,NW  JOHNSON ST,17TH AVE,16TH AVE,152,"1700 NW Johnson St, Portland, OR 97209","1600 NW Johnson St, Portland, OR 97209",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.688414,45.52855]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.687418,45.52857]}"
Planned Fog Seal.csv,12,NW  IRVING ST,241’ W of 24TH AVE,23RD AVE,153,"","2300 NW Irving St, Portland, OR 97210",-1,3,,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.698529,45.527651]}"
Planned Fog Seal.csv,13,NW  HOYT ST,24TH AVE,23RD AVE,154,"2398 NW Hoyt St, Portland, OR 97210","2300 NW Hoyt St, Portland, OR 97210",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.700531,45.5269]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.698502,45.526938]}"
Planned Fog Seal.csv,14,NW  FLANDERS ST,18TH AVE,16TH AVE,155,"1800 NW Flanders St, Portland, OR 97209","1600 NW Flanders St, Portland, OR 97209",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.689322,45.52568]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.687298,45.525714]}"
Planned Fog Seal.csv,15,SE  30TH PL,PINE ST,BURNSIDE ST,156,"298 SE 30th Pl, Portland, OR 97214","2 SE 30th Pl, Portland, OR 97214",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.633919,45.520691]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.63398,45.522867]}"
Planned Fog Seal.csv,16,SE  9TH AVE,PINE ST,BURNSIDE ST,157,"298 SE 9th Ave, Portland, OR 97214","1 NW 9th Ave, Portland, OR 97209",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.656607,45.520779]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.680089,45.522996]}"
Planned Fog Seal.csv,17,SE  10TH AVE,ASH ST,BURNSIDE ST,158,"200 SE 10th Ave, Portland, OR 97214","1 NW 10th Ave, Portland, OR 97209",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.65565,45.521487]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.681121,45.522976]}"
Planned Fog Seal.csv,18,SE  13TH AVE,STARK ST,BURNSIDE ST,159,"400 SW 13th Ave, Portland, OR 97205","400 SW 13th Ave, Portland, OR 97205",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.684082,45.522894]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.684082,45.522894]}"
Planned Fog Seal.csv,19,SE  27TH AVE,STARK ST,ANKENY ST,160,"500 SE 27th Ave, Portland, OR 97214","100 SE 27th Ave, Portland, OR 97214",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.638095,45.519314]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.638265,45.522141]}"
Planned Fog Seal.csv,20,SE  PINE ST,CESAR E CHAVEZ BLVD,44TH AVE,161,"","4399 SE Pine St, Portland, OR 97214",-1,3,,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.617305,45.521263]}"
Planned Fog Seal.csv,21,SE  OAK CT,41ST AVE,44TH AVE,162,"4098 SE Oak Ct, Portland, OR 97214","4398 SE Oak Ct, Portland, OR 97214",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.620035,45.519721]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.617307,45.519714]}"
Planned Fog Seal.csv,22,SE  WASHINGTON ST,41ST AVE,45TH AVE,163,"4101 SE Washington St, Portland, OR 97214","4499 SE Washington St, Portland, OR 97215",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.620486,45.518599]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.616136,45.518592]}"
Planned Fog Seal.csv,42,NE  49TH AVE,ALAMEDA ST,FREMONT ST,183,"2701 NE 49th Ave, Portland, OR 97213","3499 NE 49th Ave, Portland, OR 97213",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.61272,45.542309]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.61267,45.548278]}"
Planned Fog Seal.csv,43,NE  50TH AVE,ALAMEDA ST,FREMONT ST,184,"2701 NE 50th Ave, Portland, OR 97213","3501 NE 50th Ave, Portland, OR 97213",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.611703,45.542271]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.611268,45.548274]}"
Planned Fog Seal.csv,44,NE  53RD AVE,ALAMEDA ST,FREMONT ST,185,"2701 NE 53rd Ave, Portland, OR 97213","3499 NE 53rd Ave, Portland, OR 97213",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.608649,45.542085]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.608608,45.548263]}"
Planned Fog Seal.csv,45,NE  54TH AVE,ALAMEDA ST,FREMONT ST,186,"2701 NE 54th Ave, Portland, OR 97213","3499 NE 54th Ave, Portland, OR 97213",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.607647,45.542225]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.607593,45.548258]}"
Planned Fog Seal.csv,46,NE  31ST AVE,KNOTT ST,FREMONT ST,187,"2701 NE 31st Ave, Portland, OR 97212","3499 NE 31st Ave, Portland, OR 97212",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.634006,45.542038]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.633736,45.548248]}"
Planned Fog Seal.csv,47,NE  32ND AVE,SISKIYOU ST,KLICKITAT ST,188,"3101 NE 32nd Ave, Portland, OR 97212","3301 NE 32nd Ave, Portland, OR 97212",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.632716,45.545277]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.63272,45.546715]}"
Planned Fog Seal.csv,48,NE  46TH AVE,ALAMEDA ST,FREMONT ST,189,"2801 NE 46th Ave, Portland, OR 97213","3501 NE 46th Ave, Portland, OR 97213",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.615757,45.542705]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.616122,45.548289]}"
Planned Fog Seal.csv,49,NE  48TH AVE,ALAMEDA ST,KLICKITAT ST,190,"2701 NE 48th Ave, Portland, OR 97213","3301 NE 48th Ave, Portland, OR 97213",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.613734,45.542315]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.613694,45.546949]}"
Planned Fog Seal.csv,50,NE  TILLAMOOK ST,WILLIAMS AVE,MARTIN LUTHER KING JR BLVD,191,"2 N Tillamook St, Portland, OR 97227","",2,-1,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.666701,45.538047]}",
Planned Fog Seal.csv,51,NE  12TH AVE,BROADWAY,KNOTT ST,192,"1701 NE 12th Ave, Portland, OR 97212","2701 NE 12th Ave, Portland, OR 97212",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.653528,45.535048]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.653482,45.542094]}"
Planned Fog Seal.csv,52,NE  16TH AVE,BROADWAY,KNOTT ST,193,"1701 NE 16th Ave, Portland, OR 97212","2701 NE 16th Ave, Portland, OR 97212",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.649479,45.535034]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.649423,45.54208]}"
Planned Fog Seal.csv,53,NE  17TH AVE,BROADWAY,KNOTT ST,194,"1701 NE 17th Ave, Portland, OR 97212","2701 NE 17th Ave, Portland, OR 97212",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.648455,45.535032]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.648369,45.542075]}"
Planned Fog Seal.csv,54,NE  18TH AVE,TILLAMOOK ST,KNOTT ST,195,"2101 NE 18th Ave, Portland, OR 97212","2701 NE 18th Ave, Portland, OR 97212",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.647346,45.537441]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.647315,45.542072]}"
Planned Fog Seal.csv,55,NE  TILLAMOOK ST,16TH AVE,30TH AVE,196,"1599 NE Tillamook St, Portland, OR 97212","2999 NE Tillamook St, Portland, OR 97212",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.649507,45.53741]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.634983,45.537125]}"
Planned Paving.csv,7,Se Grand Ave,Salmon St,Stark St,215,"1198 SE Grand Ave, Portland, OR 97214","498 SE Grand Ave, Portland, OR 97214",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.660763,45.514375]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.66073,45.519366]}"
Planned Paving.csv,8,NE Couch Ct,3rd Ave,Couch St,216,"300 NW Couch St, Portland, OR 97209","1800 NW Couch St, Portland, OR 97209",4,4,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.673407,45.523831]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.689243,45.523541]}"
Planned Paving.csv,9,NW  THURMAN ST,26TH AVE,378’ E of 21ST AVE,217,"2600 NW Thurman St, Portland, OR 97210","",3,-1,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.70483,45.535381]}",
Planned Paving.csv,10,NW  21ST AVE,MARSHALL ST,Vaughn st-Thruman st Ramp,218,"1101 NW 21st Ave, Portland, OR 97209","",3,-1,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.694579,45.530577]}",
Planned Paving.csv,11,NW  THURMAN ST,19TH AVE,15TH AVE,219,"1900 NW Thurman St, Portland, OR 97210","1500 NW Thurman St, Portland, OR 97209",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.690716,45.535637]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.68665,45.535716]}"
Planned Paving.csv,12,NW  14TH AVE,BURNSIDE ST,NORTHRUP ST,220,"1 NE 14th Ave, Portland, OR 97232","1201 NW 14th Ave, Portland, OR 97209",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.651577,45.522901]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.685477,45.531457]}"
Planned Paving.csv,13,SW  WASHINGTON ST,9TH AVE,1ST AVE,221,"900 SW Washington St, Portland, OR 97205","SW Washington St, Portland, OR",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.680423,45.521083]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.672883,45.519071]}"
Planned Paving.csv,14,SW  MORRISON ST,18TH AVE,11TH AVE,222,"1798 SW Morrison St, Portland, OR 97205","1100 SW Morrison St, Portland, OR 97205",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.69013,45.522164]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.683122,45.520283]}"
Planned Paving.csv,15,SW  JEFFERSON ST,841’ W of 20TH AVE (N SIDE),PARK AVE,223,"","900 SW Jefferson St, Portland, OR 97201",-1,3,,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.683269,45.515741]}"
Planned Paving.csv,16,SE  GRAND AVE,OAK ST,BURNSIDE ST,224,"398 SE Grand Ave, Portland, OR 97214","2 NE Grand Ave, Portland, OR 97232",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.660726,45.520079]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.660707,45.522932]}"
Planned Paving.csv,17,SE  SANDY BLVD,STARK ST,BURNSIDE ST,225,"799 SE Sandy Blvd, Portland, OR 97214","1201 NE Sandy Blvd, Portland, OR 97232",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.657741,45.519356]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.65323,45.522913]}"
Planned Paving.csv,18,N  INTERSTATE AVE,LARRABEE ST,TILLAMOOK ST,226,"2551 N Interstate Ave, Portland, OR 97227","2001 N Interstate Ave, Portland, OR 97227",2,2,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.677118,45.540395]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.674633,45.537816]}"
Planned Paving.csv,19,N  BROADWAY,BROADWAY BRG,VANCOUVER AVE,227,"999 NW Broadway, Portland, OR 97209","N Broadway St, Portland, OR",3,5,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.677643,45.529881]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.667738,45.535098]}"
Planned Paving.csv,20,NE  57TH AVE,HALSEY ST,FREMONT ST,228,"1501 NE 57th Ave, Portland, OR 97213","3501 NE 57th Ave, Portland, OR 97213",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.604737,45.533714]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.604542,45.548242]}"
Planned Paving.csv,21,NE  BROADWAY,WILLIAMS AVE,3RD AVE,229,"NE Broadway St, Portland, OR","299 NE Broadway St, Portland, OR 97232",6,6,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.666746,45.535095]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.662658,45.535091]}"
Planned Paving.csv,22,SE  CESAR E CHAVEZ BLVD,HOLGATE BLVD,BURNSIDE ST,230,"","",-1,-1,,
Planned Paving.csv,23,NE  60TH AVE,BURNSIDE ST,HALSEY ST,231,"1 NE 60th Ave, Portland, OR 97213","1501 NE 60th Ave, Portland, OR 97213",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.602317,45.522874]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.601591,45.533709]}"
